NAME,QB SCORE,QB RANK,WR SCORE,WR RANK,RB SCORE,RB RANK,TE SCORE,TE RANK,DRAFT SCORE,DRAFT RANK
Lucas,19178,3,33152,3,32438,1,8288,6,5496,9
Joe,22529,2,35964,1,20364,5,15321,2,10028,7
Matt,13758,6,21819,7,7063,10,7733,8,24163,3
Jordan,14025,5,19601,11,27393,3,6322,11,13823,5
Tom,11229,7,24307,6,27404,2,8220,7,7551,8
Jeremy,6133,11,25048,4,9362,8,15342,1,25188,2
Ricky,15138,4,35000,2,4860,11,11622,4,1607,11
Luc,4510,12,24599,5,24316,4,9616,5,5229,10
Tristan,8944,8,19757,9,18299,7,13190,3,12080,6
Shane,6310,9,18960,12,9256,9,4236,12,1607,11
James,25770,1,19938,8,19809,6,6990,10,14367,4
Alex,6221,10,19722,10,4776,12,7097,9,26517,1
