NAME,QB SCORE,QB RANK,WR SCORE,WR RANK,RB SCORE,RB RANK,TE SCORE,TE RANK,DRAFT SCORE,DRAFT RANK
Joe,20404,3,26598,2,21365,2,18518,1,26913,7
Lucas,23529,1,33025,1,26255,1,7736,8,35103,5
Jordan,14400,4,12404,12,13211,8,11729,3,31388,6
Jeremy,5784,12,14577,9,14125,7,12456,2,48654,1
Luc,5990,11,26052,3,15726,5,9236,7,23010,8
Matt,11546,7,15974,7,8327,10,5477,10,46675,2
Tristan,7657,9,15749,8,15035,6,11488,4,22619,9
Alex,6766,10,17827,6,4494,11,4540,11,45054,3
Tom,13713,5,18644,5,19113,4,11402,5,7754,12
Shane,8928,8,13511,11,9170,9,3652,12,14983,10
James,22091,2,13715,10,20538,3,6859,9,42045,4
Ricky,11832,6,20532,4,4092,12,9906,6,14062,11
